Experiment,exp_name,species,nfert,ozone,burn,soil,water,heat,Citation,Sample date,Proxy type,Soil depth,Unit,aCO2,eCO2,Description of data source,myc
ArizonaFACE,,wheat,hi,,,,,,Pendall et al. 2001,feb. - apr. 1997,root biomass,0-100 cm,g/m2,79,92,table 1,am
ArizonaFACE,,wheat,hi,,,,,,Amthor et al. 2001,1996,yield,N/A,g/m2,740,849,table 5,am
ArizonaFACE,,wheat,hi,,,,,,Amthor et al. 2001,1997,yield,N/A,g/m2,613,706,table 5,am
Biosphere 2,,,,,,,,,Trueman and Gonzalez-Meler 2005,2001 - peak  biomass,fine root biomass,0-25 cm,g/m2,390,727,fig. 1,am
Biosphere 2,,,,,,,,,Trueman and Gonzalez-Meler 2005,2002 - peak  biomass,fine root biomass,0-25 cm,g/m2,1183,1634,fig. 1,am
Biosphere 2,,,,,,,,,Trueman and Gonzalez-Meler 2005,2003 - peak  biomass,fine root biomass,0-25 cm,g/m2,1003,1946,fig. 1,am
Biosphere 2,,,,,,,,,Trueman and Gonzalez-Meler 2005,2004 - peak  biomass,fine root biomass,0-25 cm,g/m2,1267,2144,fig. 1,am
Biosphere 2,,,,,,,,,Barron-Gafford et al. 2005,2000,aboveground biomass,N/A,kg/tree,8.88,14.24,fig. 4,am
Biosphere 2,,,,,,,,,Barron-Gafford et al. 2005,2001,aboveground biomass,N/A,kg/tree,13.07,15.92,fig. 4,am
Biosphere 2,,,,,,,,,Barron-Gafford et al. 2005,2002,aboveground biomass,N/A,kg/tree,10.56,14.16,fig. 4,am
Biosphere 2,,,,,,,,,Barron-Gafford et al. 2005,2003,aboveground biomass,N/A,kg/tree,12.19,17.36,fig. 4,am
China FACE,,,lo,,,,,,Kou et al. 2007,jun.2005,root biomass,0-15 cm,g/m2,81.6,91.8,table 1,am
China FACE,,,lo,,,,,,Kou et al. 2007,jun.2005,aboveground biomass,N/A,g/m2,993.9,1072.7,table 1,am
China FACE,,,hi,,,,,,Kou et al. 2007,jun.2005,root biomass,0-15 cm,g/m2,90.7,96.7,table 1,am
China FACE,,,hi,,,,,,Kou et al. 2007,jun.2005,aboveground biomass,N/A,g/m2,1135.5,1362.8,table 1,am
China OTC,,,lo,,,,,,Liu et al. 2010,aug. 2005,root biomass,0-70 cm,kg/m2,0.07,0.06,table 1,nonMyc
China OTC,,,lo,,,,,,Liu et al. 2010,jan. 2006,root biomass,0-70 cm,kg/m2,0.13,0.13,table 1,nonMyc
China OTC,,,lo,,,,,,Liu et al. 2010,May-06,root biomass,0-70 cm,kg/m2,0.2,0.22,table 1,nonMyc
China OTC,,,lo,,,,,,Liu et al. 2010,jan. 2008,root biomass,0-70 cm,kg/m2,0.93,1.08,table 1,nonMyc
China OTC,,,lo,,,,,,Liu et al. 2010,sept. 2008,root biomass,0-70 cm,kg/m2,1.39,1.59,table 1,nonMyc
China OTC,,,lo,,,,,,Liu et al. 2010,jan. 2009,root biomass,0-70 cm,kg/m2,1.62,1.85,table 1,nonMyc
China OTC,,,lo,,,,,,Liu et al. 2010,aug. 2005,aboveground biomass,N/A,kg/m2,0.21,0.15,table 1,nonMyc
China OTC,,,lo,,,,,,Liu et al. 2010,jan. 2006,aboveground biomass,N/A,kg/m2,0.37,0.31,table 1,nonMyc
China OTC,,,lo,,,,,,Liu et al. 2010,May-06,aboveground biomass,N/A,kg/m2,0.53,0.51,table 1,nonMyc
China OTC,,,lo,,,,,,Liu et al. 2010,jan. 2008,aboveground biomass,N/A,kg/m2,2.62,3.11,table 1,nonMyc
China OTC,,,lo,,,,,,Liu et al. 2010,sept. 2008,aboveground biomass,N/A,kg/m2,4.07,4.77,table 1,nonMyc
China OTC,,,lo,,,,,,Liu et al. 2010,jan. 2009,aboveground biomass,N/A,kg/m2,4.82,5.55,table 1,nonMyc
China OTC,,,hi,,,,,,Liu et al. 2010,aug. 2005,root biomass,0-70 cm,kg/m2,0.06,0.07,table 1,nonMyc
China OTC,,,hi,,,,,,Liu et al. 2010,jan. 2006,root biomass,0-70 cm,kg/m2,0.13,0.15,table 1,nonMyc
China OTC,,,hi,,,,,,Liu et al. 2010,May-06,root biomass,0-70 cm,kg/m2,0.19,0.23,table 1,nonMyc
China OTC,,,hi,,,,,,Liu et al. 2010,jan. 2008,root biomass,0-70 cm,kg/m2,1.08,1.3,table 1,nonMyc
China OTC,,,hi,,,,,,Liu et al. 2010,sept. 2008,root biomass,0-70 cm,kg/m2,1.88,1.93,table 1,nonMyc
China OTC,,,hi,,,,,,Liu et al. 2010,jan. 2009,root biomass,0-70 cm,kg/m2,2.37,2.39,table 1,nonMyc
China OTC,,,hi,,,,,,Liu et al. 2010,aug. 2005,aboveground biomass,0-70 cm,kg/m2,0.18,0.22,table 1,nonMyc
China OTC,,,hi,,,,,,Liu et al. 2010,jan. 2006,aboveground biomass,0-70 cm,kg/m2,0.36,0.48,table 1,nonMyc
China OTC,,,hi,,,,,,Liu et al. 2010,May-06,aboveground biomass,0-70 cm,kg/m2,0.57,0.75,table 1,nonMyc
China OTC,,,hi,,,,,,Liu et al. 2010,jan. 2008,aboveground biomass,0-70 cm,kg/m2,3.42,4.38,table 1,nonMyc
