SITE,YEAR,RING,CO2,NFERT,BLOCK,SPECIES,TRTYEAR,Nup,NPP,myc
ORNL,1998,1,elev,,1,SG,1,6.4412052,2197,am
ORNL,1998,2,elev,,1,SG,1,6.9392118,2219,am
ORNL,1998,3,amb,,1,SG,1,6.3700734,1761,am
ORNL,1998,4,amb,,1,SG,1,6.8162436,1870,am
ORNL,1998,5,amb,,1,SG,1,4.8398248,1683,am
ORNL,1999,1,elev,,1,SG,2,7.03259,2086,am
ORNL,1999,2,elev,,1,SG,2,7.4737605,2188,am
ORNL,1999,3,amb,,1,SG,2,5.7915812,1704,am
ORNL,1999,4,amb,,1,SG,2,8.2098567,2152,am
ORNL,1999,5,amb,,1,SG,2,5.6077062,1728,am
ORNL,2000,1,elev,,1,SG,3,9.4576972,2646,am
ORNL,2000,2,elev,,1,SG,3,7.5096049,2501,am
ORNL,2000,3,amb,,1,SG,3,5.9386624,1956,am
ORNL,2000,4,amb,,1,SG,3,7.868018,2279,am
ORNL,2000,5,amb,,1,SG,3,8.397162,2181,am
ORNL,2001,1,elev,,1,SG,4,12.085675,3221,am
ORNL,2001,2,elev,,1,SG,4,7.1364644,2313,am
ORNL,2001,3,amb,,1,SG,4,5.6249122,1861,am
ORNL,2001,4,amb,,1,SG,4,7.483332,2360,am
ORNL,2001,5,amb,,1,SG,4,9.3958755,2406,am
ORNL,2002,1,elev,,1,SG,5,10.79245,2808,am
ORNL,2002,2,elev,,1,SG,5,7.750952,2397,am
ORNL,2002,3,amb,,1,SG,5,6.1572348,1833,am
ORNL,2002,4,amb,,1,SG,5,6.9676596,2090,am
ORNL,2002,5,amb,,1,SG,5,6.85116,1943,am
ORNL,2003,1,elev,,1,SG,6,7.4386376,2330,am
ORNL,2003,2,elev,,1,SG,6,7.017364,2469,am
ORNL,2003,3,amb,,1,SG,6,5.8815116,2003,am
ORNL,2003,4,amb,,1,SG,6,6.370771,2351,am
ORNL,2003,5,amb,,1,SG,6,6.694148,2014,am
ORNL,2004,1,elev,,1,SG,7,7.915398,2047.7,am
ORNL,2004,2,elev,,1,SG,7,6.9361102,2178.5,am
ORNL,2004,3,amb,,1,SG,7,6.2528734,1692.1,am
ORNL,2004,4,amb,,1,SG,7,6.1308573,1879.9,am
ORNL,2004,5,amb,,1,SG,7,7.154955,1741.1,am
ORNL,2005,1,elev,,1,SG,8,6.5905016,1908.5,am
ORNL,2005,2,elev,,1,SG,8,6.5465507,1861.1,am
ORNL,2005,3,amb,,1,SG,8,5.1471975,1500.5,am
ORNL,2005,4,amb,,1,SG,8,5.6689557,1892.5,am
ORNL,2005,5,amb,,1,SG,8,5.4652798,1435.5,am
ORNL,2006,1,elev,,1,SG,9,4.4249714,1434.6,am
ORNL,2006,2,elev,,1,SG,9,4.801846,1568.9,am
ORNL,2006,3,amb,,1,SG,9,4.0656523,1413.2,am
ORNL,2006,4,amb,,1,SG,9,3.8569856,1397.1,am
ORNL,2006,5,amb,,1,SG,9,4.1830846,1233.1,am
ORNL,2007,1,elev,,1,SG,10,4.1733267,1396.5,am
ORNL,2007,2,elev,,1,SG,10,4.882182,1600.9,am
ORNL,2007,3,amb,,1,SG,10,4.1981521,1363.9,am
ORNL,2007,4,amb,,1,SG,10,3.8844702,1440.6,am
ORNL,2007,5,amb,,1,SG,10,5.0794675,1327.6,am
ORNL,2008,1,elev,,1,SG,11,3.3258621,1184.7,am
ORNL,2008,2,elev,,1,SG,11,4.0516223,1264.9,am
ORNL,2008,3,amb,,1,SG,11,4.24776,1195.2,am
ORNL,2008,4,amb,,1,SG,11,3.7625658,1222.5,am
ORNL,2008,5,amb,,1,SG,11,3.7528072,959.3,am
POPFACE,2000,1,elev,,1,alba,2,19.61518512,3474.512228,ecm
POPFACE,2000,1,elev,,1,nigra,2,24.30421313,3672.324214,ecm
POPFACE,2000,1,elev,,1,eur,2,24.74832418,3500.295318,ecm
POPFACE,2000,4,elev,,2,alba,2,17.52836411,2687.958629,ecm
POPFACE,2000,4,elev,,2,nigra,2,21.44708838,3101.460024,ecm
