Experiment,N,Myc,c.amb,c.elev,c.amb.se,c.elev.se,c.amb.sd,c.elev.sd,c.yi,c.vi,b.yi,b.vi,b.weightsTime,b.type,c.Citation,Depth,c.date,c.amb.n,c.elev.n,c.SE.SD,c.nyears,c.weightsTime
ArizonaFACE - wheat - high N,Nhigh,AM,1258,1400,38,176,38,176,0.106949078,0.004179131,,,,,Leavitt et al. 2001,0-15 cm,May-97,4,4,sd,1.5,2.75
China FACE - low N,Nhigh,AM,1937,2123,53.94,104.4,53.94,104.4,0.091689798,0.001064572,0.079647194,0.006735311,1.755,,Zhong et al. 2009,0-15 cm,jun. 2008,3,3,sd,4,3.5
China FACE - high N,Nhigh,AM,1937,2105,154.86,177.48,154.86,177.48,0.083175083,0.004500172,0.184385823,0.003337199,1.755,,Zhong et al. 2009,0-15 cm,jun. 2008,3,3,sd,4,3.5
DUKE FACE,Nlow,ECM,2164,2096,152,175,263.2717228,303.1088913,-0.031927595,0.011904674,0.188980711,0.016910031,6,,Lichter et al. 2008,0-15 cm,aug. 2006,3,3,se,9,6
FACTS II - Aspen,Nlow,ECM,3318.6,2894,393.72,50.54,681.943044,87.53784781,-0.136903379,0.014380524,0.294422953,0.004666255,7,,Talhelm et al. 2014,0-20 cm,2009,3,3,se,11,7
FACTS II - Aspen/Birch,Nlow,ECM,3035.6,2776.7,184.52,227.85,319.598015,394.6477765,-0.089145926,0.010428347,0.418481827,0.012605681,7,,Talhelm et al. 2014,0-20 cm,2009,3,3,se,11,7
GiFACE,Nhigh,AM,3150,3096,862,575,1493.027796,995.9292144,-0.017291497,0.109377981,0.01988147,0.002964875,9,aboveground,Lenhart 2008,0-7.5 cm,Jun-07,3,3,se,9.08,6.04
Hohenheim,Nhigh,AM,1721,1763,25,12,55.90169944,26.83281573,0.024111386,0.000257347,0.098093974,0.019628768,2.66,aboveground,Marhan et al. 2010,0-10 cm,oct. 2006,5,5,se,4.5,4.75
Jasper Ridge - sandstone,Nlow,AM,2612,2750,NA,NA,NA,NA,0.0514847,NA,0.050835044,0.028744916,7,,Hungate et al. 1997,0-15 cm,May-95,10,10,,6,!!!
JRGCE - Control,Nlow,AM,2428,2173,NA,NA,NA,NA,-0.110959172,NA,-0.050746398,0.014784697,7,,Hungate et al. unpublished,0-15 cm,2006,6,6,,8,!!!
JRGCE - N,Nhigh,AM,2552,2329,NA,NA,NA,NA,-0.091438375,NA,0.017476767,0.024964077,7,,Hungate et al. unpublished,0-15 cm,2006,6,6,,8,!!!
Merritt Island,Nlow,ECM,1512,1411,362,333,362,333,-0.069134605,0.014127289,0.203656664,0.003487265,9.5,,McKinley et al. unpublished,0-10 cm,May-07,8,8,sd,11,9.5
